participant_id,timestamp,sound_id,anxiety_score,presentation_index
part_1767382663346,2026-01-02T19:40:12.968Z,SON_239,68,1
part_1767382663346,2026-01-02T19:40:12.968Z,SON_183,60,2
part_1767382663346,2026-01-02T19:40:12.968Z,SON_249,44,3
part_1767382663346,2026-01-02T19:40:12.968Z,SON_19,5,4
part_1767382663346,2026-01-02T19:40:12.968Z,SON_159,97,5
part_1767382663346,2026-01-02T19:40:12.968Z,SON_106,40,6
part_1767382663346,2026-01-02T19:40:12.968Z,SON_30,6,7
part_1767382663346,2026-01-02T19:40:12.968Z,SON_70,100,8
part_1767382663346,2026-01-02T19:40:12.968Z,SON_62,13,9
part_1767382663346,2026-01-02T19:40:12.968Z,SON_3,5,10
part_1767382663346,2026-01-02T19:41:09.251Z,SON_158,54,11
part_1767382663346,2026-01-02T19:41:09.251Z,SON_29,86,12
part_1767382663346,2026-01-02T19:41:09.251Z,SON_84,39,13
part_1767382663346,2026-01-02T19:41:09.251Z,SON_28,14,14
part_1767382663346,2026-01-02T19:41:09.251Z,SON_237,0,15
part_1767382663346,2026-01-02T19:41:42.683Z,SON_147,57,16
part_1767382663346,2026-01-02T19:41:42.683Z,SON_177,100,17
part_1767382663346,2026-01-02T19:41:42.683Z,SON_104,72,18
part_1767382663346,2026-01-02T19:41:42.683Z,SON_223,52,19
part_1767382663346,2026-01-02T19:41:42.683Z,SON_148,38,20
part_1767382663346,2026-01-02T19:42:15.169Z,SON_205,0,21
part_1767382663346,2026-01-02T19:42:15.169Z,SON_78,88,22
part_1767382663346,2026-01-02T19:42:15.169Z,SON_253,3,23
part_1767382663346,2026-01-02T19:42:15.169Z,SON_193,9,24
part_1767382663346,2026-01-02T19:42:15.169Z,SON_160,38,25
part_1767382663346,2026-01-02T19:42:50.751Z,SON_74,63,26
part_1767382663346,2026-01-02T19:42:50.751Z,SON_168,43,27
part_1767382663346,2026-01-02T19:42:50.751Z,SON_66,60,28
part_1767382663346,2026-01-02T19:42:50.751Z,SON_65,26,29
part_1767382663346,2026-01-02T19:42:50.751Z,SON_41,29,30
part_1767382663346,2026-01-02T19:43:24.884Z,SON_1,6,31
part_1767382663346,2026-01-02T19:43:24.884Z,SON_127,93,32
part_1767382663346,2026-01-02T19:43:24.884Z,SON_240,23,33
part_1767382663346,2026-01-02T19:43:24.884Z,SON_195,17,34
part_1767382663346,2026-01-02T19:43:24.884Z,SON_209,47,35
part_1767382663346,2026-01-02T19:43:53.466Z,SON_137,15,36
part_1767382663346,2026-01-02T19:43:53.466Z,SON_190,32,37
part_1767382663346,2026-01-02T19:43:53.466Z,SON_211,68,38
part_1767382663346,2026-01-02T19:43:53.466Z,SON_108,44,39
part_1767382663346,2026-01-02T19:43:53.466Z,SON_248,89,40
part_1767382663346,2026-01-02T19:44:31.832Z,SON_184,33,41
part_1767382663346,2026-01-02T19:44:31.832Z,SON_118,18,42
part_1767382663346,2026-01-02T19:44:31.832Z,SON_98,7,43
part_1767382663346,2026-01-02T19:44:31.832Z,SON_138,26,44
part_1767382663346,2026-01-02T19:44:31.832Z,SON_175,67,45
part_1767382663346,2026-01-02T19:45:04.483Z,SON_235,0,46
part_1767382663346,2026-01-02T19:45:04.483Z,SON_129,73,47
part_1767382663346,2026-01-02T19:45:04.483Z,SON_18,72,48
part_1767382663346,2026-01-02T19:45:04.483Z,SON_156,62,49
part_1767382663346,2026-01-02T19:45:04.483Z,SON_152,6,50
part_1767383596675,2026-01-02T19:57:32.623Z,SON_103,79,1
part_1767383596675,2026-01-02T19:57:32.623Z,SON_164,41,2
part_1767383596675,2026-01-02T19:57:32.623Z,SON_135,88,3
part_1767383596675,2026-01-02T19:57:32.623Z,SON_159,66,4
part_1767383596675,2026-01-02T19:57:32.623Z,SON_45,47,5
part_1767383596675,2026-01-02T19:57:32.623Z,SON_120,42,6
part_1767383596675,2026-01-02T19:57:32.623Z,SON_122,88,7
part_1767383596675,2026-01-02T19:57:32.623Z,SON_12,34,8
part_1767383596675,2026-01-02T19:57:32.623Z,SON_67,45,9
part_1767383596675,2026-01-02T19:57:32.623Z,SON_55,43,10
part_1767383596675,2026-01-02T19:58:30.543Z,SON_106,54,11
part_1767383596675,2026-01-02T19:58:30.543Z,SON_256,53,12
part_1767383596675,2026-01-02T19:58:30.543Z,SON_138,68,13
part_1767383596675,2026-01-02T19:58:30.543Z,SON_247,25,14
part_1767383596675,2026-01-02T19:58:30.543Z,SON_200,60,15
part_1767383596675,2026-01-02T20:00:02.729Z,SON_70,98,16
part_1767383596675,2026-01-02T20:00:02.729Z,SON_86,100,17
part_1767383596675,2026-01-02T20:00:02.729Z,SON_57,30,18
part_1767383596675,2026-01-02T20:00:02.729Z,SON_195,52,19
part_1767383596675,2026-01-02T20:00:02.729Z,SON_111,71,20
part_1767384753347,2026-01-02T20:18:09.089Z,SON_10,0,1
part_1767384753347,2026-01-02T20:18:09.089Z,SON_100,100,2
part_1767384753347,2026-01-02T20:18:09.089Z,SON_168,69,3
part_1767384753347,2026-01-02T20:18:09.089Z,SON_154,32,4
part_1767384753347,2026-01-02T20:18:09.089Z,SON_147,61,5
part_1767384753347,2026-01-02T20:18:09.089Z,SON_93,43,6
part_1767384753347,2026-01-02T20:18:09.089Z,SON_16,0,7
