sound_id,mean_eval,std_eval,nb_eval,min_eval,max_eval,standard_error,is_controversial,osc1_act,osc1_wave,osc1_coarse,osc1_fine,osc1_attack,osc1_decay,osc1_sustain,osc1_release,osc2_act,osc2_wave,osc2_coarse,osc2_fine,osc2_attack,osc2_decay,osc2_sustain,osc2_release,osc3_act,osc3_wave,osc3_coarse,osc3_fine,osc3_attack,osc3_decay,osc3_sustain,osc3_release,osc4_act,osc4_wave,osc4_coarse,osc4_fine,osc4_attack,osc4_decay,osc4_sustain,osc4_release,nb_osc_act,nb_osc_egal_1,nb_osc_egal_2,nb_osc_egal_3,nb_osc_egal_4,presence_of_wave_sin,presence_of_wave_square,presence_of_wave_saw,presence_of_wave_triangle,nb_distinct_waves,nb_osc_fine_not_zero
SON_1,36.5,27.33391404725743,8,1,69,9.663997989592978,1,1,sin,0.5,0,0,1,2,1,1,sin,1.0,60.0,1.0,1.0,0.0,1.0,1,sin,8.0,90.0,2.0,1.0,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,1,0,0,0,1,2
SON_10,21.444444444444443,32.33848756169308,9,0,100,10.779495853897693,1,1,sin,2.0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0
SON_100,93.83333333333333,9.68331899023608,6,79,100,3.9531984237801403,0,1,square,2.0,0,0,2,2,1,1,saw,1.0,5.0,1.0,2.0,2.0,0.0,1,sin,2.0,0.0,2.0,1.0,0.0,1.0,1,triangle,0.5,10.0,1.0,0.0,0.0,2.0,4,0,0,0,1,1,1,1,1,4,2
SON_101,50.142857142857146,33.86949744449801,7,7,100,12.801466752697058,1,1,square,3.0,0,0,2,0,1,1,saw,1.0,0.0,2.0,1.0,1.0,2.0,1,square,8.0,0.0,0.0,1.0,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0,1,1,0,2,0
SON_102,44.0,21.283796653792763,3,25,67,12.288205727444508,1,1,square,0.5,0,1,0,1,1,1,saw,2.0,0.0,2.0,2.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,1,1,0,2,0
SON_103,81.625,14.252192813739226,8,64,100,5.038911092686594,0,1,square,0.5,0,1,1,1,1,1,saw,1.0,85.0,1.0,0.0,2.0,1.0,1,square,1.0,0.0,1.0,0.0,1.0,2.0,1,saw,3.0,15.0,2.0,0.0,1.0,2.0,4,0,0,0,1,0,1,1,0,2,2
SON_104,55.6,37.37378760575385,5,10,100,16.71406593262094,1,1,square,2.0,0,0,2,1,1,1,saw,1.0,95.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,1,1,0,2,1
SON_105,64.85714285714286,20.860078071350962,7,42,100,7.8843684151695035,1,1,square,3.0,0,1,2,1,1,1,saw,9.0,75.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,1,1,0,2,1
SON_106,51.857142857142854,16.201116951500303,7,31,74,6.12344663073467,1,1,square,3.0,0,0,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,1,0
SON_107,79.0,13.053735097664577,6,64,100,5.329165037789692,0,1,square,8.0,0,1,0,2,0,1,saw,2.0,0.0,1.0,1.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,1,1,0,2,0
